placement_id,date,impressions
1,11/1/2020,33427
1,11/2/2020,30311
1,11/3/2020,38048
1,11/4/2020,32167
1,11/5/2020,38673
1,11/6/2020,34793
1,11/7/2020,39949
1,11/8/2020,37360
1,11/9/2020,39987
1,11/10/2020,37955
1,11/11/2020,31069
1,11/12/2020,37480
1,11/13/2020,38894
1,11/14/2020,36981
1,11/15/2020,31890
1,11/16/2020,39931
1,11/17/2020,34084
1,11/18/2020,39532
1,11/19/2020,37740
1,11/20/2020,38806
1,11/21/2020,35822
1,11/22/2020,36812
1,11/23/2020,31383
1,11/24/2020,39954
1,11/25/2020,39769
1,11/26/2020,39068
1,11/27/2020,36734
1,11/28/2020,30356
1,11/29/2020,33657
1,11/30/2020,30944
2,12/1/2020,54957
2,12/2/2020,54470
2,12/3/2020,52565
2,12/4/2020,58863
2,12/5/2020,57099
2,12/6/2020,42505
2,12/7/2020,53434
2,12/8/2020,53613
2,12/9/2020,45039
2,12/10/2020,55141
2,12/11/2020,57859
2,12/12/2020,47197
2,12/13/2020,41949
2,12/14/2020,41445
2,12/15/2020,40756
2,12/16/2020,51087
2,12/17/2020,49960
2,12/18/2020,56026
2,12/19/2020,46630
2,12/20/2020,53828
2,12/21/2020,57718
2,12/22/2020,42603
2,12/23/2020,46873
2,12/24/2020,50273
2,12/25/2020,56286
2,12/26/2020,55753
2,12/27/2020,59560
2,12/28/2020,52174
2,12/29/2020,55779
2,12/30/2020,57135
2,12/31/2020,59381
3,11/1/2020,35905
3,11/2/2020,30860
3,11/3/2020,35514
3,11/4/2020,30110
3,11/5/2020,33436
3,11/6/2020,32828
3,11/7/2020,35166
3,11/8/2020,31012
3,11/9/2020,30371
3,11/10/2020,30970
3,11/11/2020,30690
3,11/12/2020,39751
3,11/13/2020,37785
3,11/14/2020,39346
3,11/15/2020,30946
3,11/16/2020,34036
3,11/17/2020,36279
3,11/18/2020,39872
3,11/19/2020,37032
3,11/20/2020,33466
3,11/21/2020,38415
3,11/22/2020,39062
3,11/23/2020,37263
3,11/24/2020,33616
3,11/25/2020,32984
3,11/26/2020,36756
3,11/27/2020,31429
3,11/28/2020,36614
3,11/29/2020,33360
3,11/30/2020,31092
4,12/1/2020,46142
4,12/2/2020,46232
4,12/3/2020,40794
4,12/4/2020,42719
4,12/5/2020,42091
4,12/6/2020,40404
4,12/7/2020,56046
4,12/8/2020,56429
4,12/9/2020,48412
4,12/10/2020,51005
4,12/11/2020,52575
4,12/12/2020,50673
4,12/13/2020,48676
4,12/14/2020,47749
4,12/15/2020,44864
4,12/16/2020,51137
4,12/17/2020,59851
4,12/18/2020,53048
4,12/19/2020,51783
4,12/20/2020,45440
4,12/21/2020,53729
4,12/22/2020,58633
4,12/23/2020,51614
4,12/24/2020,42967
4,12/25/2020,40193
4,12/26/2020,41972
4,12/27/2020,53101
4,12/28/2020,40293
4,12/29/2020,58385
4,12/30/2020,53277
4,12/31/2020,59587
